Order_ID,Date,Product,Category,Subcategory,Quantity,Price_Per_Unit,Region,Total_Sales,Month,Full_Category
ORD1025,2026-05-06,Cast Iron Skillet,Home & Kitchen,Cookware,2,107,East,214,May,Home & Kitchen -> Cookware
ORD1007,2026-01-25,Dell XPS 13,Electronics,Laptops,14,719,East,10066,Jan,Electronics -> Laptops
ORD1033,2026-02-24,Knife Set,Home & Kitchen,Cookware,3,136,South,408,Feb,Home & Kitchen -> Cookware
ORD1074,2026-06-23,Knife Set,Home & Kitchen,Cookware,15,61,East,915,Jun,Home & Kitchen -> Cookware
ORD1038,2026-04-24,Pixel 8,Electronics,Smartphones,2,118,West,236,Apr,Electronics -> Smartphones
ORD1046,2026-05-30,White Sneakers,Clothing,Footwear,9,95,East,855,May,Clothing -> Footwear
ORD1003,2026-01-09,Cast Iron Skillet,Home & Kitchen,Cookware,2,70,South,140,Jan,Home & Kitchen -> Cookware
ORD1041,2026-04-19,Sweatpants,Clothing,Bottomwear,12,139,South,1668,Apr,Clothing -> Bottomwear
ORD1064,2026-04-28,Galaxy S24,Electronics,Smartphones,5,481,South,2405,Apr,Electronics -> Smartphones
ORD1004,2026-05-24,Air Fryer,Home & Kitchen,Appliances,12,122,South,1464,May,Home & Kitchen -> Appliances
ORD1015,2026-01-17,Jeans,Clothing,Bottomwear,15,95,South,1425,Jan,Clothing -> Bottomwear
ORD1030,2026-02-27,iPhone 15,Electronics,Smartphones,6,58,South,348,Feb,Electronics -> Smartphones
ORD1005,2026-03-13,Running Shoes,Clothing,Footwear,13,55,West,715,Mar,Clothing -> Footwear
ORD1028,2026-06-05,Leather Boots,Clothing,Footwear,4,66,East,264,Jun,Clothing -> Footwear
ORD1072,2026-05-10,Non-Stick Pan,Home & Kitchen,Cookware,11,119,East,1309,May,Home & Kitchen -> Cookware
ORD1032,2026-03-26,iPhone 15,Electronics,Smartphones,9,502,East,4518,Mar,Electronics -> Smartphones
ORD1011,2026-04-08,Galaxy S24,Electronics,Smartphones,8,762,South,6096,Apr,Electronics -> Smartphones
ORD1026,2026-03-03,Pixel 8,Electronics,Smartphones,2,190,West,380,Mar,Electronics -> Smartphones
ORD1061,2026-03-02,Air Fryer,Home & Kitchen,Appliances,13,60,East,780,Mar,Home & Kitchen -> Appliances
ORD1024,2026-02-11,ThinkPad T14,Electronics,Laptops,13,1101,North,14313,Feb,Electronics -> Laptops
ORD1053,2026-05-22,iPhone 15,Electronics,Smartphones,5,592,South,2960,May,Electronics -> Smartphones
ORD1010,2026-01-12,Espresso Machine,Home & Kitchen,Appliances,4,89,West,356,Jan,Home & Kitchen -> Appliances
ORD1078,2026-06-22,Galaxy S24,Electronics,Smartphones,4,422,South,1688,Jun,Electronics -> Smartphones
ORD1050,2026-01-18,MacBook Air,Electronics,Laptops,6,598,South,3588,Jan,Electronics -> Laptops
ORD1018,2026-02-05,Flannel Shirt,Clothing,Topwear,8,38,North,304,Feb,Clothing -> Topwear
ORD1037,2026-02-05,Non-Stick Pan,Home & Kitchen,Cookware,3,86,West,258,Feb,Home & Kitchen -> Cookware
ORD1045,2026-05-26,Hoodie,Clothing,Topwear,10,26,North,260,May,Clothing -> Topwear
ORD1056,2026-02-03,ThinkPad T14,Electronics,Laptops,5,345,West,1725,Feb,Electronics -> Laptops
ORD1008,2026-04-28,Logitech Mouse,Electronics,Accessories,1,790,North,790,Apr,Electronics -> Accessories
ORD1019,2026-06-10,iPhone 15,Electronics,Smartphones,13,879,North,11427,Jun,Electronics -> Smartphones
ORD1043,2026-01-15,Cast Iron Skillet,Home & Kitchen,Cookware,10,137,South,1370,Jan,Home & Kitchen -> Cookware
