Order_ID,Date,Product,Category,Subcategory,Quantity,Price_Per_Unit,Region,Total_Sales,Month
1,2026-06-25,Smartphone,Electronics,Smartwatch,34,802.03,South,27269.02,Jun
2,2026-07-08,Headphones,Electronics,Smartwatch,1,471.64,East,471.64,Jul
3,2026-07-12,Headphones,Electronics,Laptop,1,454.47,North,454.47,Jul
4,2026-08-23,Jeans,Clothing,Jeans,1,487.62,West,487.62,Aug
5,2026-05-23,Jeans,Clothing,T-Shirt,4,97.61,North,390.44,May
6,2026-02-15,Laptop,Electronics,Smartphone,22,175.14,North,3853.08,Feb
7,2025-10-23,Headphones,Electronics,Smartwatch,1,547.02,Central,547.02,Oct
8,2026-02-09,Air Purifier,Home Appliances,Microwave,48,981.81,West,47126.88,Feb
9,2026-03-08,Microwave,Home Appliances,Coffee Maker,1,763.33,West,763.33,Mar
10,2025-11-29,T-Shirt,Clothing,Jeans,22,585.18,North,12873.96,Nov
11,2026-07-29,Jeans,Clothing,Jacket,9,547.54,South,4927.86,Jul
12,2026-05-11,Sneakers,Clothing,Jeans,1,348.75,West,348.75,May
13,2026-05-05,Jeans,Clothing,Jeans,11,526.67,East,5793.37,May
14,2026-08-02,Smartphone,Electronics,Smartphone,10,308.08,South,3080.7999999999997,Aug
15,2025-11-12,Microwave,Home Appliances,Air Purifier,1,183.35,West,183.35,Nov
16,2025-10-29,Jacket,Clothing,Jacket,36,107.73,East,3878.28,Oct
17,2026-06-03,Laptop,Electronics,Smartphone,1,106.16,South,106.16,Jun
18,2026-04-25,Jeans,Clothing,Sneakers,6,42.33,Central,253.98,Apr
19,2026-04-11,Sneakers,Clothing,Jeans,1,528.83,South,528.83,Apr
20,2026-05-24,Jacket,Clothing,Jeans,23,212.3,West,4882.900000000001,May
21,2025-10-01,Laptop,Electronics,Smartwatch,1,404.98,South,404.98,Oct
22,2025-10-30,Laptop,Electronics,Smartwatch,1,547.38,West,547.38,Oct
23,2025-11-21,Coffee Maker,Home Appliances,Microwave,1,497.02,South,497.02,Nov
24,2025-09-09,Laptop,Electronics,Smartwatch,34,60.28,Central,2049.52,Sep
25,2025-11-08,Air Purifier,Home Appliances,Air Purifier,1,524.53,South,524.53,Nov
26,2026-05-06,Sneakers,Clothing,Jeans,1,801.87,South,801.87,May
27,2026-01-22,Jeans,Clothing,T-Shirt,1,820.61,Central,820.61,Jan
28,2025-11-27,Laptop,Electronics,Laptop,1,152.53,East,152.53,Nov
29,2025-12-17,Vacuum Cleaner,Home Appliances,Coffee Maker,36,766.41,South,27590.76,Dec
30,2026-02-08,Smartwatch,Electronics,Smartphone,1,30.83,West,30.83,Feb
31,2026-01-08,T-Shirt,Clothing,Jeans,1,954.31,West,954.31,Jan
32,2026-04-07,Jacket,Clothing,Jacket,1,208.47,East,208.47,Apr
33,2026-04-25,T-Shirt,Clothing,Sneakers,31,239.98,North,7439.38,Apr
34,2026-07-31,Smartphone,Electronics,Laptop,1,952.63,South,952.63,Jul
35,2026-03-14,Microwave,Home Appliances,Coffee Maker,1,120.64,East,120.64,Mar
36,2025-10-08,Smartwatch,Electronics,Headphones,1,253.01,South,253.01,Oct
37,2026-06-29,Sneakers,Clothing,Sneakers,1,600.82,South,600.82,Jun
38,2025-11-12,Jacket,Clothing,T-Shirt,27,649.35,Central,17532.45,Nov
39,2025-12-29,Smartphone,Electronics,Smartphone,16,505.5,North,8088.0,Dec
40,2025-11-13,Smartphone,Electronics,Laptop,1,940.15,North,940.15,Nov
41,2026-06-02,Air Purifier,Home Appliances,Air Purifier,1,520.43,North,520.43,Jun
42,2026-06-03,Air Purifier,Home Appliances,Air Purifier,29,698.99,North,20270.71,Jun
43,2026-05-25,Smartwatch,Electronics,Headphones,1,805.3,West,805.3,May
44,2025-10-27,Coffee Maker,Home Appliances,Vacuum Cleaner,1,143.94,South,143.94,Oct
45,2025-09-18,Jeans,Clothing,Jacket,2,941.25,East,1882.5,Sep
46,2025-10-13,Vacuum Cleaner,Home Appliances,Coffee Maker,1,442.82,South,442.82,Oct
47,2025-09-24,Smartwatch,Electronics,Headphones,48,753.7,South,36177.600000000006,Sep
48,2025-11-08,Sneakers,Clothing,T-Shirt,1,88.55,West,88.55,Nov
49,2025-11-15,Laptop,Electronics,Headphones,23,559.36,East,12865.28,Nov
50,2026-05-14,Smartwatch,Electronics,Smartwatch,1,274.46,South,274.46,May
51,2025-09-28,Coffee Maker,Home Appliances,Coffee Maker,2,766.52,North,1533.04,Sep
52,2026-03-25,Air Purifier,Home Appliances,Coffee Maker,1,244.08,South,244.08,Mar
53,2026-04-28,Smartphone,Electronics,Laptop,36,506.37,West,18229.32,Apr
54,2025-11-03,T-Shirt,Clothing,Jeans,1,304.72,West,304.72,Nov
55,2025-12-18,Jacket,Clothing,Jeans,1,392.89,West,392.89,Dec
56,2026-05-04,Smartphone,Electronics,Laptop,45,547.85,East,24653.25,May
57,2025-11-24,Jacket,Clothing,Jacket,1,561.64,Central,561.64,Nov
58,2026-03-07,Coffee Maker,Home Appliances,Air Purifier,30,301.55,West,9046.5,Mar
59,2026-01-22,Headphones,Electronics,Smartwatch,1,791.43,Central,791.43,Jan
60,2026-08-07,Vacuum Cleaner,Home Appliances,Coffee Maker,24,123.57,East,2965.68,Aug
61,2025-10-23,Smartphone,Electronics,Smartphone,28,134.33,West,3761.2400000000002,Oct
62,2025-12-16,Jeans,Clothing,Jacket,1,38.82,Central,38.82,Dec
63,2025-11-05,Laptop,Electronics,Laptop,1,981.66,Central,981.66,Nov
64,2025-10-10,Jacket,Clothing,T-Shirt,38,29.95,East,1138.1,Oct
65,2026-07-28,Headphones,Electronics,Smartwatch,1,274.79,Central,274.79,Jul
66,2026-08-17,Coffee Maker,Home Appliances,Microwave,6,161.02,North,966.1200000000001,Aug
67,2026-01-18,Smartphone,Electronics,Laptop,1,686.36,West,686.36,Jan
68,2026-03-19,Air Purifier,Home Appliances,Air Purifier,42,545.68,North,22918.559999999998,Mar
69,2026-07-28,Laptop,Electronics,Headphones,10,211.16,South,2111.6,Jul
70,2026-06-07,Air Purifier,Home Appliances,Air Purifier,1,115.89,South,115.89,Jun
71,2026-05-29,Jeans,Clothing,T-Shirt,2,16.81,South,33.62,May
72,2025-09-12,Smartwatch,Electronics,Smartwatch,1,865.57,West,865.57,Sep
73,2026-07-04,Sneakers,Clothing,Jeans,3,987.04,East,2961.12,Jul
74,2025-12-11,Laptop,Electronics,Smartwatch,31,440.55,Central,13657.050000000001,Dec
75,2026-05-18,Coffee Maker,Home Appliances,Vacuum Cleaner,15,141.8,South,2127.0,May
76,2026-07-04,Coffee Maker,Home Appliances,Coffee Maker,47,151.32,South,7112.04,Jul
77,2026-01-08,Microwave,Home Appliances,Vacuum Cleaner,1,194.02,East,194.02,Jan
78,2025-10-10,Microwave,Home Appliances,Vacuum Cleaner,1,711.88,South,711.88,Oct
79,2026-05-16,Coffee Maker,Home Appliances,Air Purifier,1,640.69,South,640.69,May
80,2026-01-06,Coffee Maker,Home Appliances,Vacuum Cleaner,1,61.47,Central,61.47,Jan
81,2026-08-09,Headphones,Electronics,Headphones,27,254.4,North,6868.8,Aug
82,2026-03-26,Jacket,Clothing,T-Shirt,46,912.85,North,41991.1,Mar
83,2025-11-27,Headphones,Electronics,Laptop,49,915.82,North,44875.18,Nov
84,2025-09-10,Jeans,Clothing,Jeans,42,585.13,Central,24575.46,Sep
85,2026-08-18,Smartphone,Electronics,Smartwatch,1,394.41,North,394.41,Aug
86,2026-05-04,Jacket,Clothing,Jacket,20,49.17,Central,983.4000000000001,May
87,2026-08-08,Jacket,Clothing,Sneakers,1,977.37,West,977.37,Aug
88,2025-09-25,Coffee Maker,Home Appliances,Coffee Maker,1,123.74,North,123.74,Sep
89,2026-04-17,Smartphone,Electronics,Smartwatch,1,521.09,Central,521.09,Apr
90,2026-07-03,Microwave,Home Appliances,Microwave,44,802.55,East,35312.2,Jul
91,2026-04-09,Microwave,Home Appliances,Microwave,1,805.4,South,805.4,Apr
92,2026-06-21,Microwave,Home Appliances,Air Purifier,1,93.92,East,93.92,Jun
93,2025-10-12,Coffee Maker,Home Appliances,Coffee Maker,10,479.64,East,4796.4,Oct
94,2026-05-28,Coffee Maker,Home Appliances,Microwave,1,946.15,North,946.15,May
95,2026-08-25,T-Shirt,Clothing,T-Shirt,9,309.61,Central,2786.4900000000002,Aug
96,2026-04-10,Jacket,Clothing,Sneakers,39,982.55,West,38319.45,Apr
97,2025-12-03,Headphones,Electronics,Headphones,1,53.81,East,53.81,Dec
98,2026-03-09,Smartphone,Electronics,Smartwatch,1,803.79,Central,803.79,Mar
99,2026-02-27,Vacuum Cleaner,Home Appliances,Vacuum Cleaner,1,942.95,South,942.95,Feb
100,2025-10-25,Air Purifier,Home Appliances,Air Purifier,6,212.32,North,1273.92,Oct
