Order_ID,Date,Product,Category,Subcategory,Quantity,Price_Per_Unit,Region,Total_Sales,Month,Full_Category
1,2026-06-25,Smartphone,Electronics,Smartwatch,34,802.03,South,27269.02,Jun,Electronics -> Smartwatch
2,2026-07-08,Headphones,Electronics,Smartwatch,1,471.64,East,471.64,Jul,Electronics -> Smartwatch
3,2026-07-12,Headphones,Electronics,Laptop,1,454.47,North,454.47,Jul,Electronics -> Laptop
4,2026-08-23,Jeans,Clothing,Jeans,1,487.62,West,487.62,Aug,Clothing -> Jeans
5,2026-05-23,Jeans,Clothing,T-Shirt,4,97.61,North,390.44,May,Clothing -> T-Shirt
6,2026-02-15,Laptop,Electronics,Smartphone,22,175.14,North,3853.08,Feb,Electronics -> Smartphone
7,2025-10-23,Headphones,Electronics,Smartwatch,1,547.02,Central,547.02,Oct,Electronics -> Smartwatch
8,2026-02-09,Air Purifier,Home Appliances,Microwave,48,981.81,West,47126.88,Feb,Home Appliances -> Microwave
9,2026-03-08,Microwave,Home Appliances,Coffee Maker,1,763.33,West,763.33,Mar,Home Appliances -> Coffee Maker
10,2025-11-29,T-Shirt,Clothing,Jeans,22,585.18,North,12873.96,Nov,Clothing -> Jeans
11,2026-07-29,Jeans,Clothing,Jacket,9,547.54,South,4927.86,Jul,Clothing -> Jacket
12,2026-05-11,Sneakers,Clothing,Jeans,1,348.75,West,348.75,May,Clothing -> Jeans
13,2026-05-05,Jeans,Clothing,Jeans,11,526.67,East,5793.37,May,Clothing -> Jeans
14,2026-08-02,Smartphone,Electronics,Smartphone,10,308.08,South,3080.7999999999997,Aug,Electronics -> Smartphone
15,2025-11-12,Microwave,Home Appliances,Air Purifier,1,183.35,West,183.35,Nov,Home Appliances -> Air Purifier
16,2025-10-29,Jacket,Clothing,Jacket,36,107.73,East,3878.28,Oct,Clothing -> Jacket
17,2026-06-03,Laptop,Electronics,Smartphone,1,106.16,South,106.16,Jun,Electronics -> Smartphone
18,2026-04-25,Jeans,Clothing,Sneakers,6,42.33,Central,253.98,Apr,Clothing -> Sneakers
19,2026-04-11,Sneakers,Clothing,Jeans,1,528.83,South,528.83,Apr,Clothing -> Jeans
20,2026-05-24,Jacket,Clothing,Jeans,23,212.3,West,4882.900000000001,May,Clothing -> Jeans
21,2025-10-01,Laptop,Electronics,Smartwatch,1,404.98,South,404.98,Oct,Electronics -> Smartwatch
22,2025-10-30,Laptop,Electronics,Smartwatch,1,547.38,West,547.38,Oct,Electronics -> Smartwatch
23,2025-11-21,Coffee Maker,Home Appliances,Microwave,1,497.02,South,497.02,Nov,Home Appliances -> Microwave
24,2025-09-09,Laptop,Electronics,Smartwatch,34,60.28,Central,2049.52,Sep,Electronics -> Smartwatch
25,2025-11-08,Air Purifier,Home Appliances,Air Purifier,1,524.53,South,524.53,Nov,Home Appliances -> Air Purifier
