Date,Open,High,Low,Close,Volume
2026-03-20,430.88,434.87,426.81,432.7,57060
2026-02-20,331.62,332.14,321.44,321.79,78744
2026-01-09,106.15,108.16,98.11,101.98,45984
2026-08-16,247.38,252.0,243.19,248.86,5939
2026-07-04,124.75,128.22,115.57,120.34,92094
2025-09-10,214.94,218.79,202.59,206.88,7754
2025-09-26,306.03,309.34,298.11,301.65,22522
2026-05-17,298.05,301.41,295.79,297.61,17532
2025-11-17,111.79,120.65,109.96,118.4,47659
2026-05-19,425.27,433.46,424.82,432.39,25320
2026-01-29,145.54,146.96,136.76,139.89,44065
2025-11-06,436.74,441.27,426.53,428.28,47859
2026-06-29,494.72,497.75,486.96,489.93,34985
2026-03-05,291.27,292.66,289.19,292.57,50588
2026-05-19,270.74,275.14,270.2,270.71,90703
2025-09-10,106.04,108.51,98.16,101.25,22086
2025-11-07,404.57,405.35,394.28,395.77,16578
2026-07-25,462.7,464.5,454.16,455.96,70501
2026-04-22,313.34,314.4,300.51,304.15,8545
2026-05-11,369.19,379.04,364.57,375.55,32401
2025-10-23,202.95,205.48,195.37,196.51,68031
2025-11-07,232.52,237.38,230.16,230.78,3294
2026-01-30,480.54,488.98,480.09,486.3,19145
2026-07-18,430.94,442.58,426.3,439.08,55024
2026-06-02,180.56,188.94,179.4,188.73,18686
2026-09-04,417.04,417.94,409.16,413.19,38310
2025-12-01,365.16,367.77,351.81,356.38,92103
2026-03-22,419.82,424.42,415.31,419.14,55872
2025-11-16,216.98,217.56,212.36,214.78,1605
2026-02-05,454.3,456.43,452.41,456.23,90766
2026-02-21,286.69,288.11,277.78,282.06,92021
2025-10-13,356.69,366.02,355.9,365.33,95999
2026-05-28,470.64,475.68,466.71,473.43,31172
2025-10-10,309.73,321.39,307.09,318.22,70215
2026-06-08,294.61,297.41,286.52,289.9,47090
2026-08-23,313.74,314.5,303.79,304.74,91110
2026-05-08,315.95,318.4,309.98,310.27,16605
2026-05-09,134.76,141.28,133.06,136.44,3170
2026-03-15,111.94,120.72,109.96,120.42,96265
2026-04-17,192.9,197.7,188.1,191.45,52642
2026-07-03,473.38,476.19,461.59,463.66,72240
2026-01-23,380.27,388.63,376.59,385.01,75775
2025-12-04,372.09,372.64,361.09,362.23,26990
2026-05-18,119.68,129.82,118.12,128.79,47640
2026-04-14,184.74,185.22,173.91,175.28,99832
2026-09-03,161.46,166.08,150.04,152.06,46149
2026-03-20,169.49,180.69,169.35,178.38,21002
2025-12-27,146.9,149.96,144.81,145.97,29001
2026-08-22,249.58,251.76,245.85,250.51,19822
2025-12-11,331.7,332.89,327.84,328.93,95471
