Order_ID,Date,Product,Category,Subcategory,Quantity,Price_Per_Unit,Region
1,2026-06-25,Smartphone,Electronics,Smartwatch,34.0,802.03,South
2,2026-07-08,Headphones,Electronics,Smartwatch,,471.64,East
3,2026-07-12,Headphones,Electronics,Laptop,,454.47,North
4,2026-08-23,Jeans,Clothing,Jeans,,487.62,West
5,2026-05-23,Jeans,Clothing,T-Shirt,4.0,97.61,North
6,2026-02-15,Laptop,Electronics,Smartphone,22.0,175.14,North
7,2025-10-23,Headphones,Electronics,Smartwatch,,547.02,Central
8,2026-02-09,Air Purifier,Home Appliances,Microwave,48.0,981.81,West
9,2026-03-08,Microwave,Home Appliances,Coffee Maker,,763.33,West
10,2025-11-29,T-Shirt,Clothing,Jeans,22.0,585.18,North
11,2026-07-29,Jeans,Clothing,Jacket,9.0,547.54,South
12,2026-05-11,Sneakers,Clothing,Jeans,,348.75,West
13,2026-05-05,Jeans,Clothing,Jeans,11.0,526.67,East
14,2026-08-02,Smartphone,Electronics,Smartphone,10.0,308.08,South
15,2025-11-12,Microwave,Home Appliances,Air Purifier,,183.35,West
16,2025-10-29,Jacket,Clothing,Jacket,36.0,107.73,East
17,2026-06-03,Laptop,Electronics,Smartphone,,106.16,South
18,2026-04-25,Jeans,Clothing,Sneakers,6.0,42.33,Central
19,2026-04-11,Sneakers,Clothing,Jeans,,528.83,South
20,2026-05-24,Jacket,Clothing,Jeans,23.0,212.3,West
21,2025-10-01,Laptop,Electronics,Smartwatch,,404.98,South
22,2025-10-30,Laptop,Electronics,Smartwatch,,547.38,West
23,2025-11-21,Coffee Maker,Home Appliances,Microwave,,497.02,South
24,2025-09-09,Laptop,Electronics,Smartwatch,34.0,60.28,Central
25,2025-11-08,Air Purifier,Home Appliances,Air Purifier,,524.53,South
26,2026-05-06,Sneakers,Clothing,Jeans,,801.87,South
27,2026-01-22,Jeans,Clothing,T-Shirt,,820.61,Central
28,2025-11-27,Laptop,Electronics,Laptop,,152.53,East
29,2025-12-17,Vacuum Cleaner,Home Appliances,Coffee Maker,36.0,766.41,South
30,2026-02-08,Smartwatch,Electronics,Smartphone,,30.83,West
31,2026-01-08,T-Shirt,Clothing,Jeans,,954.31,West
32,2026-04-07,Jacket,Clothing,Jacket,,208.47,East
33,2026-04-25,T-Shirt,Clothing,Sneakers,31.0,239.98,North
34,2026-07-31,Smartphone,Electronics,Laptop,,952.63,South
35,2026-03-14,Microwave,Home Appliances,Coffee Maker,,120.64,East
36,2025-10-08,Smartwatch,Electronics,Headphones,,253.01,South
37,2026-06-29,Sneakers,Clothing,Sneakers,,600.82,South
38,2025-11-12,Jacket,Clothing,T-Shirt,27.0,649.35,Central
39,2025-12-29,Smartphone,Electronics,Smartphone,16.0,505.5,North
40,2025-11-13,Smartphone,Electronics,Laptop,1.0,940.15,North
41,2026-06-02,Air Purifier,Home Appliances,Air Purifier,,520.43,North
42,2026-06-03,Air Purifier,Home Appliances,Air Purifier,29.0,698.99,North
43,2026-05-25,Smartwatch,Electronics,Headphones,,805.3,West
44,2025-10-27,Coffee Maker,Home Appliances,Vacuum Cleaner,,143.94,South
45,2025-09-18,Jeans,Clothing,Jacket,2.0,941.25,East
