Origin_Country,Origin_Lat,Origin_Lon,Dest_Country,Dest_Lat,Dest_Lon,Population,Per_Capita_Income_USD,Economy_GDP_USD_Trillion
United States,37.0902,-95.7129,China,35.8617,104.1954,1409670000,13160,18.56
United States,37.0902,-95.7129,Germany,51.1657,10.4515,846070000,54290,4.59
United States,37.0902,-95.7129,Japan,36.2048,138.2529,123850000,33180,4.11
United States,37.0902,-95.7129,India,20.5937,78.9629,1441719850,2730,3.94
United States,37.0902,-95.7129,United Kingdom,55.3781,-3.436,68260000,51270,3.5
United States,37.0902,-95.7129,France,46.2276,2.2137,66540000,47040,3.13
United States,37.0902,-95.7129,Brazil,-14.235,-51.9253,217630000,10710,2.33
United States,37.0902,-95.7129,Italy,41.8719,12.5674,58690000,39700,2.33
United States,37.0902,-95.7129,Canada,56.1304,-106.3468,41010000,54620,2.24
United States,37.0902,-95.7129,Russia,61.524,105.3188,144000000,14300,2.06
United States,37.0902,-95.7129,Mexico,23.6345,-102.5528,129390000,15610,2.02
United States,37.0902,-95.7129,Australia,-25.2744,133.7751,26870000,66620,1.79
United States,37.0902,-95.7129,South Korea,35.9078,127.7669,51300000,34310,1.76
United States,37.0902,-95.7129,Spain,40.4637,-3.7492,48590000,34580,1.68
United States,37.0902,-95.7129,Indonesia,-0.7893,113.9213,279800000,5290,1.48
United States,37.0902,-95.7129,Saudi Arabia,23.8859,45.0792,33950000,32690,1.11
United States,37.0902,-95.7129,Netherlands,52.1326,5.2913,17940000,63540,1.14
United States,37.0902,-95.7129,Turkey,38.9637,35.2433,85820000,12930,1.11
United States,37.0902,-95.7129,Switzerland,46.8182,8.2275,8900000,105620,0.94
United States,37.0902,-95.7129,Argentina,-38.4161,-63.6167,46960000,13410,0.63
United States,37.0902,-95.7129,South Africa,-30.5595,22.9375,61020000,6230,0.38
United States,37.0902,-95.7129,Nigeria,9.082,8.6753,229150000,1570,0.36
United States,37.0902,-95.7129,Egypt,26.8206,30.8025,114480000,3060,0.35
United States,37.0902,-95.7129,Pakistan,30.3753,69.3451,245210000,1390,0.34
