Country,Population 2024
India,1441719852
China,1425178782
United States,341814420
Indonesia,279798049
Pakistan,245209815
Nigeria,229152217
Brazil,217637297
Bangladesh,174701211
Russia,143957079
Ethiopia,129719719
Mexico,129388467
Japan,122631432
Philippines,119106224
Egypt,114484252
DR Congo,105625114
Vietnam,99497680
Iran,89809781
Turkey,86260417
Germany,83252474
Thailand,71885799
Tanzania,69419073
United Kingdom,67961439
France,64881830
South Africa,61020221
Italy,58697744
Kenya,56203030
Myanmar,54964694
Colombia,52340774
South Korea,51741963
Uganda,49924252
Sudan,49358228
Spain,47473373
Iraq,46523657
Algeria,46278751
Argentina,46057866
Afghanistan,43372950
Poland,40221726
Canada,39107046
Morocco,38211459
