Date,Open,High,Low,Close,Volume
2026-04-23,350.0,354.09,348.15,353.97,89023
2026-02-07,452.63,453.16,447.16,447.8,4961
2026-01-26,274.85,277.27,273.64,273.94,44419
2026-07-19,234.56,245.1,233.78,241.1,50623
2025-12-26,356.01,365.32,351.72,361.77,2687
2026-05-17,224.34,228.57,221.41,226.3,16208
2026-08-08,473.89,477.34,466.85,468.79,36801
2026-06-03,256.37,257.51,252.12,256.1,14944
2026-06-19,332.51,333.26,320.22,324.04,9309
2026-04-11,114.71,119.57,114.57,115.76,33077
2026-07-08,259.37,260.57,255.94,259.76,40474
2026-07-02,182.84,183.97,179.13,182.76,86626
2026-01-23,117.68,121.73,106.57,107.88,77258
2025-09-09,102.94,103.9,97.03,100.94,68818
2025-10-31,432.58,432.59,420.87,424.1,32932
2026-05-16,192.44,193.5,181.41,185.44,55587
2026-07-14,366.1,370.62,361.63,365.91,40685
2025-10-22,381.9,386.26,378.9,380.82,89410
2026-02-11,368.84,371.23,362.85,367.77,19797
2026-08-21,336.89,338.1,335.53,337.02,55426
2025-11-13,462.41,464.17,451.92,452.88,91143
2026-06-17,133.86,148.01,133.55,143.46,18851
2025-10-13,304.58,316.43,302.02,311.57,20025
2025-10-14,267.51,270.0,264.88,268.11,89534
2026-09-03,419.78,426.71,414.93,425.13,31729
2025-10-21,444.81,448.01,443.22,443.69,96916
2025-10-17,211.44,216.7,210.92,214.41,2635
2026-04-05,294.16,297.63,293.56,295.56,60429
2025-12-23,322.04,330.74,317.33,325.97,16174
2026-07-28,452.95,457.0,441.54,445.57,63444
2026-04-14,234.05,235.76,229.93,234.34,14558
2026-05-03,387.1,391.52,378.0,381.53,88643
2025-11-25,379.25,379.35,375.55,379.25,67890
2026-08-13,430.16,438.82,429.92,437.82,55512
2025-10-04,257.32,258.68,246.86,250.34,17118
2026-03-28,449.53,449.85,437.6,439.71,3759
2026-07-30,105.46,108.46,102.44,108.34,87600
2026-02-08,100.27,112.0,100.06,109.91,55728
2026-04-27,199.19,202.58,191.46,191.68,98548
2026-08-23,300.74,311.45,296.22,308.91,25318
2025-09-13,306.08,309.09,302.18,308.49,77665
2026-08-18,439.98,448.4,439.04,446.2,73155
2025-09-20,317.81,322.25,312.43,312.47,84845
2026-03-12,204.13,210.47,200.0,210.35,63475
2025-11-30,106.62,114.74,104.68,114.26,78018
2026-03-01,327.81,331.12,327.15,327.44,43858
2026-03-17,259.86,273.5,259.48,268.87,51133
2026-01-30,346.63,351.47,336.01,340.05,53413
2026-06-17,359.31,369.98,354.87,366.73,33706
2025-12-24,172.97,176.14,165.57,169.01,66975
