Date,Open,High,Low,Close,Volume
2025-11-16,437.72,443.45,436.17,441.0,92080
2026-05-12,413.54,415.44,404.96,405.66,53193
2026-07-16,354.17,358.23,347.97,352.12,17279
2026-05-14,385.16,385.35,377.12,381.13,44339
2026-01-22,269.69,272.81,263.0,263.73,43545
2026-02-10,361.65,372.38,361.58,370.45,77676
2025-09-18,173.26,173.72,165.35,166.35,92730
2026-07-20,202.5,211.07,202.43,208.97,51642
2026-03-29,361.39,365.12,358.5,362.15,64167
2026-01-01,256.06,257.07,244.14,246.31,11563
2026-08-17,119.85,122.62,118.82,120.24,75369
2025-10-23,370.81,375.32,367.57,374.28,92901
2026-08-09,201.88,209.14,196.96,209.12,62365
2025-11-19,391.57,396.58,388.46,395.01,29582
2026-01-13,131.59,135.71,122.15,123.39,68328
2026-02-24,441.56,444.31,438.74,441.99,87995
2026-08-04,294.37,300.41,291.97,297.21,36150
2025-12-21,147.48,149.54,141.2,142.07,49925
2025-12-24,491.37,493.22,478.42,482.05,88149
2026-02-13,227.44,230.26,221.25,224.24,25316
2026-07-13,378.54,383.2,376.49,381.83,7465
2026-06-24,289.98,301.95,289.84,298.59,61346
2026-04-22,321.08,325.07,310.39,312.44,87815
2026-06-29,308.37,315.6,305.28,314.84,95167
2026-06-23,109.87,110.05,100.3,100.99,17965
