Country,Population,Economy_GDP_USD_Trillion,Per_Capita_Income_USD,Latitude,Longitude
United States,341814420,28.781,84210,37.0902,-95.7129
China,1409670000,18.56,13160,35.8617,104.1954
Germany,846070000,4.59,54290,51.1657,10.4515
Japan,123850000,4.11,33180,36.2048,138.2529
India,1441719850,3.94,2730,20.5937,78.9629
United Kingdom,68260000,3.5,51270,55.3781,-3.436
France,66540000,3.13,47040,46.2276,2.2137
Brazil,217630000,2.33,10710,-14.235,-51.9253
Italy,58690000,2.33,39700,41.8719,12.5674
Canada,41010000,2.24,54620,56.1304,-106.3468
Russia,144000000,2.06,14300,61.524,105.3188
Mexico,129390000,2.02,15610,23.6345,-102.5528
Australia,26870000,1.79,66620,-25.2744,133.7751
South Korea,51300000,1.76,34310,35.9078,127.7669
Spain,48590000,1.68,34580,40.4637,-3.7492
Indonesia,279800000,1.48,5290,-0.7893,113.9213
Saudi Arabia,33950000,1.11,32690,23.8859,45.0792
Netherlands,17940000,1.14,63540,52.1326,5.2913
Turkey,85820000,1.11,12930,38.9637,35.2433
Switzerland,8900000,0.94,105620,46.8182,8.2275
Argentina,46960000,0.63,13410,-38.4161,-63.6167
South Africa,61020000,0.38,6230,-30.5595,22.9375
Nigeria,229150000,0.36,1570,9.082,8.6753
Egypt,114480000,0.35,3060,26.8206,30.8025
Pakistan,245210000,0.34,1390,30.3753,69.3451
