Country,Population,Per_Capita_Income_USD,Economy_GDP_USD_Trillion
United States,345000000,85000,29.32
China,1400000000,13500,18.9
Germany,84000000,56000,4.7
Japan,123000000,35000,4.3
India,1440000000,28000,40.32
United Kingdom,68000000,51000,3.47
France,66000000,47000,3.1
Brazil,217000000,10500,2.28
Italy,59000000,39000,2.3
Canada,41000000,55000,2.25
Russia,144000000,14000,2.02
Mexico,129000000,14000,1.81
Australia,27000000,66000,1.78
South Korea,51000000,34000,1.73
Spain,48000000,34000,1.63
Indonesia,280000000,53000,14.84
Saudi Arabia,37000000,30000,1.11
Netherlands,18000000,63000,1.13
Turkey,86000000,13000,1.12
Switzerland,9000000,105000,0.94
